img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
241,0,6,7,0.017417450611956993,0.7837348959781643,0,6,7,0,6,7
242,0,5,6,0.009999560847429294,0.8332894188608176,0,5,6,0,5,6
243,0,6,7,0.08610517866816055,0.8514880091496924,0,6,7,0,6,7
244,0,2,5,1.0720654468107029e-05,0.3916816262027011,0,2,5,0,2,5
245,0,5,6,0.009996578358428572,0.8329912418988402,0,5,6,0,5,6
246,0,1,5,1.3883459815081935e-06,0.19991757783410932,0,1,5,0,1,5
247,0,5,6,0.05512203850202443,0.6644739553524461,0,4,6,0,5,6
248,0,6,7,0.0010705703453597955,0.42884773931051595,0,6,7,0,6,7
249,1,6,6,0.9999270657963344,0.9999270690535469,1,6,6,1,6,6
250,0,4,6,0.0003873377947906427,0.33411966905192064,0,4,6,0,4,6
251,0,3,5,0.00027304650722538614,0.5953916149909831,0,3,5,0,3,5
252,0,1,5,9.66255002305841e-08,0.20000667716534504,0,1,5,0,1,5
253,0,5,6,0.08079959200411281,0.7706406097413602,0,5,6,0,5,6
254,0,4,5,0.05231229023840065,0.7994769838256233,0,4,5,0,4,5
255,0,6,7,0.15891518572836663,0.8571023359336211,1,7,7,1,7,7
256,0,5,7,0.020753602648539947,0.714257647985144,0,5,7,0,5,7
257,0,5,7,0.0015288757341041651,0.7140661842678495,0,5,7,0,5,7
258,0,4,5,0.0039810537943642185,0.799995500929031,0,4,5,0,4,5
259,0,4,5,0.09405808553613891,0.5938026411073227,0,4,5,0,4,5
260,0,2,5,5.007739592775329e-05,0.3999274094145585,0,4,5,0,3,5
261,0,3,6,0.0020122789779186373,0.4998812432695628,0,3,6,0,3,6
262,0,4,5,0.003980264005526075,0.7997971953528253,0,4,5,0,4,5
263,0,3,7,0.0016698086823633634,0.4264869332674978,0,3,7,0,3,7
264,0,6,7,0.006974688520093418,0.7142573229263732,0,6,7,0,6,7
265,0,3,5,0.0010307036360596292,0.5991599468647796,0,3,5,0,3,5
266,0,3,5,0.00032677982158695425,0.5999819803011943,0,3,5,0,3,5
267,0,6,7,0.11186662244709798,0.7285801098301412,0,6,7,0,6,7
268,0,3,5,1.584752944841112e-05,0.5999115144683674,0,3,5,0,3,5
269,0,4,6,0.0015984616689458785,0.6664682004384829,0,4,6,0,4,6
270,1,6,6,0.9998380512934275,0.9998380647322502,1,6,6,1,6,6
271,0,6,7,0.034829971010135755,0.7141704736391646,0,5,7,0,5,7
272,0,6,7,0.019260923953463648,0.854773956014231,0,6,7,0,6,7
273,0,4,6,0.01990464077286244,0.6666643061337838,0,4,6,0,4,6
274,0,5,7,0.004713142746396438,0.7140287150830081,0,5,7,0,5,7
275,0,7,8,0.237381036322682,0.8248919224990519,0,7,8,0,7,8
276,1,6,6,0.9999649084037968,0.9999649087624604,1,6,6,1,6,6
277,0,6,8,0.0775302614818889,0.749104045944791,0,6,8,0,5,8
278,0,5,6,0.997622170880973,0.9976301190527267,0,5,6,0,5,6
279,1,5,5,0.999174009891693,0.9991753138872408,1,5,5,1,5,5
280,0,4,6,0.1701083140648984,0.8328559193399189,0,4,6,0,4,6
281,0,5,6,0.1136026279326406,0.6889988418787937,0,5,6,0,5,6
282,1,7,7,0.9999738614264617,0.9999738623665603,1,7,7,1,7,7
283,0,4,6,0.19216691543108233,0.8298143582305643,0,4,6,0,4,6
284,0,5,6,0.045760426060046,0.6672069401549132,0,5,6,0,5,6
285,0,5,6,0.06939808238020585,0.6661111341942362,0,5,6,0,5,6
286,0,3,5,0.0002190446074204394,0.5999699267028941,0,3,5,0,3,5
287,0,5,6,0.070881502228536,0.8324257392835598,0,5,6,0,5,6
288,0,4,5,0.038644093287533696,0.6001205237078784,0,4,5,0,4,5
289,1,5,5,0.3087758795973357,0.8005431322421224,1,5,5,1,5,5
290,0,4,6,0.009834563380613828,0.8174451677796589,0,4,6,0,4,6
291,0,5,6,0.009943948443061052,0.8278057001474893,0,5,6,0,5,6
292,0,7,8,0.05746218191816867,0.7377709882265824,0,7,8,0,7,8
293,1,8,8,0.9998500878352038,0.9998501062169088,1,8,8,1,8,8
294,0,6,7,0.17689619840310275,0.8570951423709969,0,6,7,0,6,7
295,0,5,6,0.13213384191234626,0.66969958909557,0,5,6,0,5,6
296,1,6,6,0.7846693641210177,0.8721522435379768,1,6,6,1,6,6
297,0,5,7,0.00988118643689224,0.7155068855005178,0,5,7,0,5,7
298,0,4,6,0.06077335503982013,0.5047491192995254,0,5,6,0,5,6
299,0,3,7,0.005578425881894081,0.592901148143647,0,3,7,0,3,7
300,0,3,6,0.00032792822887994636,0.4993705335159177,0,3,6,0,3,6
301,1,8,8,0.23750537724064688,0.8749388841653927,1,8,8,1,8,8
302,0,5,9,0.095859550633181,0.6412392731349921,0,5,9,0,5,9
303,0,8,9,0.3290740079577259,0.8885380201177864,0,8,9,0,8,9
304,1,7,7,0.9999952331193321,0.9999952331387243,1,7,7,1,7,7
305,0,7,9,0.026280199024020828,0.7777279210190629,0,7,9,0,7,9
306,0,3,6,0.0009109221022127131,0.6666172733228133,0,3,6,0,3,6
307,0,4,6,0.000931003682690797,0.49998974517766226,0,4,6,0,4,6
308,0,6,9,0.07590212202109589,0.6781448795857465,0,7,9,0,6,9
309,0,3,6,0.07395741773899879,0.55481802706161,0,3,6,0,3,6
310,0,4,6,7.8456318138461e-05,0.5385582032227089,0,4,6,0,4,6
311,0,6,8,0.0016240350298365777,0.6249888538088555,0,6,8,0,6,8
312,0,6,8,0.06475604980149692,0.7473149300768711,0,6,8,0,6,8
313,0,7,8,0.028947970879419752,0.8116079260989539,0,7,8,0,7,8
314,0,6,8,0.10826069224704078,0.7113534278825863,0,6,8,0,6,8
315,0,6,8,0.00591441484559453,0.7454703962308946,0,6,8,0,6,8
316,1,6,6,0.19179135325322788,0.7201458139190372,1,6,6,1,6,6
317,0,8,9,0.04629345551258261,0.8862768744432918,0,8,9,0,8,9
318,0,3,6,0.0002987610958069532,0.4700147539756366,0,3,6,0,3,6
319,0,5,7,0.0018610353160422163,0.7142397556171768,0,5,7,0,5,7
320,0,4,8,1.1953593747091758e-05,0.3737401684242083,0,4,8,0,4,8
321,0,5,7,8.913633840827709e-05,0.5692552420759401,0,5,7,0,5,7
322,1,6,6,0.9999683861005599,0.9999683867965233,1,6,6,1,6,6
323,0,3,7,4.1602797872127856e-05,0.47053131951112676,0,3,7,0,3,7
324,0,5,7,0.017774825346593394,0.7941930566388843,0,5,7,0,6,7
325,1,9,9,0.9921777569408631,0.992412598034214,1,9,9,1,9,9
326,0,5,6,0.002985264160683717,0.6663420919459738,0,5,6,0,5,6
327,0,3,7,5.602014514775368e-06,0.2952616241929013,0,3,7,0,3,7
328,0,5,6,0.00031396676869823093,0.5005924254966462,0,5,6,0,5,6
329,0,6,8,0.513930979928395,0.8670351843834985,0,6,8,0,7,8
330,0,1,6,1.188415169510228e-05,0.2472537154766766,0,1,6,0,1,6
331,0,4,6,0.0035125184373792557,0.4565525470859631,0,4,6,0,4,6
332,0,5,8,0.015852127868985058,0.6445949802432065,0,5,8,0,5,8
333,0,6,7,0.23961919591800396,0.8570254953608277,0,6,7,0,6,7
334,1,8,8,0.9962020902346619,0.9962495174250681,1,8,8,1,8,8
335,0,5,7,0.002476349163761145,0.7141762129667172,0,5,7,0,5,7
336,0,4,6,0.0006369410511880693,0.4982236076111138,0,4,6,0,4,6
337,0,5,8,9.974201611027579e-05,0.4202463241630605,0,4,8,0,4,8
338,0,6,7,0.07374170303549434,0.8570989289725388,0,6,7,0,6,7
339,0,5,8,0.042719659742833864,0.6278347026429175,0,5,8,0,5,8
340,0,2,6,0.01734626695962529,0.529877252545796,0,3,6,0,2,6
341,0,7,8,0.15574820604939638,0.8748610355758648,0,7,8,0,7,8
342,0,6,8,0.006412755863172283,0.7487478801297329,0,6,8,0,6,8
343,0,6,9,0.006929698621756099,0.6751060427744583,0,6,9,0,6,9
344,0,7,8,0.028150078439565934,0.7990590269950409,0,7,8,0,7,8
345,0,5,6,0.30199685384906605,0.8334433105841051,0,5,6,0,5,6
346,0,7,8,0.272543650417635,0.8720140024117423,0,7,8,0,7,8
347,0,3,6,2.7445589588732988e-05,0.4988569276280557,0,3,6,0,3,6
348,0,7,8,0.03161545958730449,0.87476867862152,0,7,8,0,7,8
349,0,7,8,0.19751785519147824,0.7865784321422706,0,7,8,0,7,8
350,0,4,7,3.1148081407318604e-05,0.5713912621002925,0,4,7,0,4,7
351,0,6,8,0.12644316727432844,0.7539650331407174,0,6,8,0,6,8
352,0,6,7,0.01929988416377302,0.8567758679091984,0,6,7,0,6,7
353,0,4,6,0.0017289789765618084,0.5445257749996685,0,4,6,0,4,6
