source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_DiT_1,415,0.83,0.48,0.4,0.6,0.78,0.7,0.31,0.28,0.47,0.42
User_DiT_1,419,0.62,0.36,0.27,0.41,1.49,1.08,0.41,0.3,0.6,0.44
User_DiT_1,421,0.74,0.56,0.43,0.63,2.03,0.88,0.86,0.37,1.27,0.55
User_DiT_1,426,0.59,0.44,0.26,0.49,0.96,0.67,0.25,0.17,0.47,0.33
User_DiT_1,429,0.8,0.96,0.76,0.78,0.35,0.74,0.27,0.56,0.27,0.58
User_DiT_1,432,0.73,0.36,0.28,0.45,1.58,1.36,0.45,0.38,0.71,0.61
User_DiT_1,443,0.62,0.68,0.46,0.56,0.25,0.75,0.11,0.35,0.14,0.42
User_DiT_1,446,0.69,0.6,0.41,0.61,1.4,0.94,0.58,0.39,0.86,0.58
User_DiT_1,453,0.68,0.44,0.33,0.51,0.43,0.6,0.14,0.2,0.22,0.31
User_DiT_1,461,0.91,0.88,0.8,0.89,0.3,0.53,0.24,0.42,0.26,0.47
User_DiT_1,477,0.36,0.56,0.2,0.34,2.11,0.68,0.42,0.13,0.71,0.23
User_DiT_1,479,0.34,0.6,0.24,0.35,0.47,0.73,0.11,0.17,0.17,0.26
User_DiT_1,481,0.48,0.48,0.3,0.45,0.83,1.42,0.25,0.43,0.37,0.64
User_DiT_1,488,0.83,0.76,0.72,0.79,1.07,1.02,0.76,0.73,0.84,0.81
User_DiT_1,499,0.8,0.6,0.44,0.56,1.23,1.03,0.54,0.45,0.69,0.57
User_DiT_1,529,0.85,0.44,0.38,0.56,2.75,0.67,1.05,0.26,1.54,0.38
User_DiT_1,535,0.85,0.56,0.48,0.66,0.45,0.87,0.21,0.41,0.3,0.58
User_DiT_1,554,0.0,0.52,0.0,0.0,1.07,0.81,0.0,0.0,0.0,0.0
User_DiT_1,567,0.95,0.56,0.53,0.7,3.49,0.85,1.84,0.45,2.43,0.59
User_DiT_1,575,0.83,0.36,0.3,0.48,0.66,0.69,0.2,0.2,0.32,0.33
