source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_IMFfdloss_3,415,0.53,0.6,0.37,0.48,1.01,0.91,0.37,0.34,0.49,0.44
User_IMFfdloss_3,419,0.98,0.48,0.47,0.64,1.4,1.01,0.65,0.47,0.89,0.64
User_IMFfdloss_3,421,0.76,0.56,0.45,0.63,1.84,0.8,0.83,0.36,1.15,0.5
User_IMFfdloss_3,426,0.48,0.32,0.16,0.38,1.48,1.03,0.24,0.17,0.56,0.39
User_IMFfdloss_3,429,0.8,0.72,0.63,0.74,0.46,0.96,0.29,0.61,0.34,0.72
User_IMFfdloss_3,432,0.97,0.6,0.58,0.72,1.07,0.92,0.63,0.54,0.77,0.66
User_IMFfdloss_3,443,0.93,0.8,0.75,0.86,0.25,0.76,0.19,0.57,0.21,0.66
User_IMFfdloss_3,446,0.87,0.72,0.63,0.78,1.36,0.92,0.86,0.58,1.07,0.72
User_IMFfdloss_3,453,0.9,0.64,0.57,0.73,0.59,0.83,0.34,0.47,0.43,0.6
User_IMFfdloss_3,461,0.84,0.72,0.6,0.73,0.4,0.72,0.24,0.43,0.29,0.52
User_IMFfdloss_3,477,0.62,0.56,0.34,0.5,2.62,0.84,0.9,0.29,1.32,0.43
User_IMFfdloss_3,479,0.59,0.64,0.5,0.59,0.61,0.96,0.31,0.48,0.36,0.57
User_IMFfdloss_3,481,0.83,0.44,0.36,0.57,0.53,0.92,0.19,0.33,0.3,0.52
User_IMFfdloss_3,488,0.84,0.72,0.62,0.76,0.93,0.89,0.58,0.55,0.7,0.68
User_IMFfdloss_3,499,0.95,0.56,0.54,0.67,1.28,1.07,0.68,0.57,0.86,0.72
User_IMFfdloss_3,529,0.71,0.52,0.39,0.54,2.93,0.72,1.15,0.28,1.58,0.39
User_IMFfdloss_3,535,0.64,0.76,0.5,0.69,0.51,1.0,0.26,0.5,0.35,0.69
User_IMFfdloss_3,554,0.0,0.68,0.0,0.0,0.98,0.74,0.0,0.0,0.0,0.0
User_IMFfdloss_3,567,1.0,0.64,0.64,0.77,3.65,0.88,2.34,0.57,2.81,0.68
User_IMFfdloss_3,575,0.86,0.56,0.49,0.67,0.9,0.94,0.44,0.46,0.6,0.63
