source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
Sys_DiT_ref_class1000,461,0.88,0.55,0.49,0.66
Sys_DiT_ref_class1000,462,0.67,0.65,0.48,0.63
Sys_DiT_ref_class1000,463,0.35,0.31,0.13,0.27
Sys_DiT_ref_class1000,464,0.4,0.43,0.2,0.38
Sys_DiT_ref_class1000,465,0.87,0.66,0.58,0.74
Sys_DiT_ref_class1000,466,0.92,0.67,0.62,0.77
Sys_DiT_ref_class1000,467,0.62,0.42,0.29,0.45
Sys_DiT_ref_class1000,468,0.88,0.62,0.55,0.72
Sys_DiT_ref_class1000,469,0.62,0.58,0.42,0.55
Sys_DiT_ref_class1000,470,0.51,0.54,0.28,0.47
Sys_DiT_ref_class1000,471,0.66,0.52,0.38,0.57
Sys_DiT_ref_class1000,472,0.55,0.52,0.28,0.49
Sys_DiT_ref_class1000,473,0.79,0.66,0.54,0.71
Sys_DiT_ref_class1000,474,0.73,0.39,0.31,0.5
Sys_DiT_ref_class1000,475,0.92,0.75,0.7,0.83
Sys_DiT_ref_class1000,476,0.96,0.55,0.53,0.68
Sys_DiT_ref_class1000,477,0.66,0.6,0.43,0.59
Sys_DiT_ref_class1000,478,0.59,0.36,0.23,0.44
Sys_DiT_ref_class1000,479,0.85,0.71,0.66,0.75
Sys_DiT_ref_class1000,480,0.84,0.55,0.46,0.66
Sys_DiT_ref_class1000,481,0.64,0.44,0.3,0.52
Sys_DiT_ref_class1000,482,0.66,0.42,0.29,0.51
Sys_DiT_ref_class1000,483,0.73,0.65,0.53,0.68
Sys_DiT_ref_class1000,484,0.89,0.61,0.55,0.72
Sys_DiT_ref_class1000,485,0.64,0.56,0.4,0.58
Sys_DiT_ref_class1000,486,0.89,0.45,0.41,0.57
Sys_DiT_ref_class1000,487,0.36,0.34,0.14,0.34
Sys_DiT_ref_class1000,488,0.63,0.58,0.43,0.56
Sys_DiT_ref_class1000,489,0.51,0.45,0.3,0.45
Sys_DiT_ref_class1000,490,0.96,0.81,0.78,0.88
Sys_DiT_ref_class1000,491,0.66,0.55,0.38,0.59
Sys_DiT_ref_class1000,492,0.78,0.73,0.58,0.73
Sys_DiT_ref_class1000,493,0.52,0.64,0.33,0.55
Sys_DiT_ref_class1000,494,0.43,0.51,0.31,0.42
Sys_DiT_ref_class1000,495,0.85,0.71,0.61,0.77
Sys_DiT_ref_class1000,496,0.86,0.72,0.62,0.78
Sys_DiT_ref_class1000,497,0.86,0.6,0.53,0.7
Sys_DiT_ref_class1000,498,0.61,0.47,0.3,0.51
Sys_DiT_ref_class1000,499,0.86,0.68,0.61,0.74
Sys_DiT_ref_class1000,500,0.54,0.61,0.42,0.54
Sys_DiT_ref_class1000,501,0.89,0.41,0.38,0.54
Sys_DiT_ref_class1000,502,0.8,0.57,0.44,0.63
Sys_DiT_ref_class1000,503,0.92,0.68,0.64,0.78
Sys_DiT_ref_class1000,504,0.77,0.64,0.55,0.69
Sys_DiT_ref_class1000,505,0.82,0.58,0.54,0.66
Sys_DiT_ref_class1000,506,0.16,0.59,0.11,0.23
Sys_DiT_ref_class1000,507,0.57,0.45,0.25,0.47
Sys_DiT_ref_class1000,508,0.53,0.44,0.29,0.47
Sys_DiT_ref_class1000,509,0.75,0.52,0.41,0.61
Sys_DiT_ref_class1000,510,0.84,0.57,0.49,0.67
Sys_DiT_ref_class1000,511,0.85,0.52,0.47,0.63
Sys_DiT_ref_class1000,512,0.48,0.43,0.27,0.43
Sys_DiT_ref_class1000,513,0.55,0.65,0.37,0.5
Sys_DiT_ref_class1000,514,0.74,0.45,0.34,0.54
Sys_DiT_ref_class1000,515,0.62,0.51,0.37,0.54
Sys_DiT_ref_class1000,516,0.81,0.77,0.66,0.78
Sys_DiT_ref_class1000,517,0.06,0.65,0.04,0.09
Sys_DiT_ref_class1000,518,0.68,0.52,0.44,0.58
Sys_DiT_ref_class1000,519,0.68,0.52,0.43,0.58
Sys_DiT_ref_class1000,520,0.83,0.5,0.42,0.61
Sys_DiT_ref_class1000,521,0.65,0.57,0.41,0.57
Sys_DiT_ref_class1000,522,0.9,0.58,0.53,0.69
Sys_DiT_ref_class1000,523,0.39,0.46,0.22,0.29
Sys_DiT_ref_class1000,524,0.77,0.58,0.46,0.64
Sys_DiT_ref_class1000,525,0.83,0.73,0.64,0.77
Sys_DiT_ref_class1000,526,0.69,0.48,0.37,0.55
Sys_DiT_ref_class1000,527,0.66,0.59,0.39,0.59
Sys_DiT_ref_class1000,528,0.81,0.65,0.56,0.72
Sys_DiT_ref_class1000,529,0.79,0.6,0.49,0.66
Sys_DiT_ref_class1000,530,0.55,0.47,0.28,0.48
Sys_DiT_ref_class1000,531,0.42,0.35,0.16,0.38
Sys_DiT_ref_class1000,532,0.68,0.52,0.38,0.59
Sys_DiT_ref_class1000,533,0.66,0.79,0.52,0.68
Sys_DiT_ref_class1000,534,0.44,0.36,0.18,0.34
Sys_DiT_ref_class1000,535,0.81,0.55,0.48,0.65
Sys_DiT_ref_class1000,536,0.71,0.77,0.54,0.65
Sys_DiT_ref_class1000,537,0.54,0.24,0.16,0.33
Sys_DiT_ref_class1000,538,0.8,0.65,0.56,0.69
Sys_DiT_ref_class1000,539,0.69,0.6,0.42,0.61
Sys_DiT_ref_class1000,540,0.81,0.45,0.38,0.56
Sys_DiT_ref_class1000,541,0.89,0.71,0.63,0.79
Sys_DiT_ref_class1000,542,0.82,0.38,0.3,0.49
Sys_DiT_ref_class1000,543,0.35,0.41,0.21,0.33
Sys_DiT_ref_class1000,544,0.9,0.68,0.62,0.78
Sys_DiT_ref_class1000,545,0.73,0.6,0.51,0.64
Sys_DiT_ref_class1000,546,0.8,0.56,0.45,0.65
Sys_DiT_ref_class1000,547,0.83,0.61,0.52,0.7
Sys_DiT_ref_class1000,548,0.92,0.66,0.61,0.76
Sys_DiT_ref_class1000,549,0.36,0.35,0.15,0.32
Sys_DiT_ref_class1000,550,0.94,0.55,0.52,0.68
Sys_DiT_ref_class1000,551,0.89,0.52,0.48,0.64
Sys_DiT_ref_class1000,552,0.93,0.43,0.4,0.55
Sys_DiT_ref_class1000,553,0.86,0.54,0.5,0.65
Sys_DiT_ref_class1000,554,0.97,0.47,0.46,0.62
Sys_DiT_ref_class1000,555,0.97,0.38,0.37,0.54
Sys_DiT_ref_class1000,556,0.64,0.55,0.38,0.51
Sys_DiT_ref_class1000,557,0.65,0.41,0.29,0.49
Sys_DiT_ref_class1000,558,0.5,0.31,0.17,0.34
Sys_DiT_ref_class1000,559,0.72,0.47,0.37,0.49
Sys_DiT_ref_class1000,560,0.67,0.58,0.39,0.53
Sys_DiT_ref_class1000,561,0.81,0.64,0.55,0.71
Sys_DiT_ref_class1000,562,0.9,0.69,0.63,0.77
Sys_DiT_ref_class1000,563,0.8,0.55,0.46,0.64
Sys_DiT_ref_class1000,564,0.97,0.62,0.61,0.75
Sys_DiT_ref_class1000,565,0.94,0.68,0.64,0.79
