source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
Sys_IMF_ref_2,981,0.5,0.23,0.15,0.32
Sys_IMF_ref_2,982,0.48,0.32,0.19,0.36
Sys_IMF_ref_2,983,0.76,0.46,0.37,0.56
Sys_IMF_ref_2,985,0.57,0.68,0.4,0.58
Sys_IMF_ref_2,991,0.86,0.77,0.66,0.8
Sys_IMF_ref_2,999,0.43,0.27,0.12,0.28
Sys_IMF_ref_3,4,0.92,0.55,0.5,0.68
Sys_IMF_ref_3,7,0.78,0.37,0.29,0.5
Sys_IMF_ref_3,10,0.96,0.91,0.88,0.93
Sys_IMF_ref_3,25,0.85,0.54,0.46,0.63
Sys_IMF_ref_3,35,0.6,0.59,0.38,0.58
Sys_IMF_ref_3,39,0.77,0.69,0.55,0.72
Sys_IMF_ref_3,49,0.86,0.76,0.66,0.8
Sys_IMF_ref_3,51,0.93,0.53,0.49,0.66
Sys_IMF_ref_3,52,0.68,0.55,0.44,0.6
Sys_IMF_ref_3,64,0.79,0.67,0.54,0.72
Sys_IMF_ref_3,80,0.84,0.41,0.34,0.53
Sys_IMF_ref_3,97,0.96,0.76,0.73,0.82
Sys_IMF_ref_3,106,0.92,0.58,0.55,0.69
Sys_IMF_ref_3,116,0.97,0.8,0.77,0.87
Sys_IMF_ref_3,118,0.84,0.6,0.52,0.69
Sys_IMF_ref_3,129,0.8,0.37,0.29,0.49
Sys_IMF_ref_3,144,0.75,0.35,0.3,0.47
Sys_IMF_ref_3,147,0.82,0.66,0.56,0.72
Sys_IMF_ref_3,150,0.82,0.39,0.33,0.52
Sys_IMF_ref_3,156,0.83,0.29,0.24,0.43
Sys_IMF_ref_3,159,0.69,0.3,0.21,0.41
Sys_IMF_ref_3,281,0.9,0.3,0.27,0.45
Sys_IMF_ref_3,300,0.92,0.74,0.69,0.81
Sys_IMF_ref_3,322,0.86,0.79,0.7,0.82
Sys_IMF_ref_3,330,0.79,0.43,0.35,0.55
Sys_IMF_ref_3,333,0.81,0.35,0.28,0.48
