source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
User_DiT_1,300,0.93,0.92,0.86,0.92,0.47,0.8,0.4,0.69,0.44,0.74
User_DiT_1,322,0.94,0.8,0.77,0.86,0.62,0.69,0.47,0.53,0.53,0.59
User_DiT_1,330,0.91,0.8,0.74,0.84,0.35,0.95,0.26,0.7,0.3,0.8
User_DiT_1,333,1.0,0.52,0.52,0.67,0.9,0.82,0.47,0.43,0.61,0.55
User_DiT_1,339,0.88,0.84,0.74,0.84,1.31,0.76,0.96,0.56,1.09,0.64
User_DiT_1,347,1.0,0.8,0.8,0.87,0.45,0.72,0.36,0.58,0.39,0.63
User_DiT_1,356,0.91,0.48,0.44,0.62,2.05,1.34,0.9,0.59,1.28,0.83
User_DiT_1,365,0.85,0.76,0.64,0.78,0.72,0.68,0.46,0.43,0.56,0.53
User_DiT_1,370,0.97,0.64,0.63,0.75,0.76,0.84,0.48,0.53,0.57,0.63
User_DiT_1,389,0.4,0.44,0.17,0.39,1.52,0.62,0.26,0.11,0.59,0.24
User_DiT_1,392,0.91,0.76,0.7,0.82,0.23,0.57,0.16,0.4,0.19,0.47
User_DiT_1,394,0.95,0.56,0.55,0.68,2.01,0.95,1.11,0.52,1.38,0.65
User_DiT_1,396,0.97,0.8,0.78,0.88,0.16,0.65,0.12,0.51,0.14,0.57
User_DiT_1,400,0.98,0.4,0.39,0.54,0.21,0.65,0.08,0.26,0.11,0.35
User_DiT_1,405,0.67,0.52,0.34,0.49,0.39,0.7,0.13,0.24,0.19,0.34
User_DiT_1,406,0.93,0.72,0.65,0.79,1.11,0.66,0.73,0.43,0.87,0.52
User_DiT_1,413,0.57,0.52,0.31,0.47,0.47,1.06,0.15,0.33,0.22,0.5
User_DiT_1,415,0.83,0.48,0.4,0.6,0.78,0.7,0.31,0.28,0.47,0.42
User_DiT_1,419,0.62,0.36,0.27,0.41,1.49,1.08,0.41,0.3,0.6,0.44
User_DiT_1,421,0.74,0.56,0.43,0.63,2.03,0.88,0.86,0.37,1.27,0.55
User_DiT_1,426,0.59,0.44,0.26,0.49,0.96,0.67,0.25,0.17,0.47,0.33
User_DiT_1,429,0.8,0.96,0.76,0.78,0.35,0.74,0.27,0.56,0.27,0.58
User_DiT_1,432,0.73,0.36,0.28,0.45,1.58,1.36,0.45,0.38,0.71,0.61
User_DiT_1,443,0.62,0.68,0.46,0.56,0.25,0.75,0.11,0.35,0.14,0.42
