source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_VAR_ref_500_2,968,0.97,0.66,0.64,0.77,2.03,0.92,1.3,0.59,1.56,0.71
Sys_VAR_ref_500_2,971,0.85,0.5,0.45,0.63,0.3,0.66,0.13,0.29,0.19,0.41
Sys_VAR_ref_500_2,972,0.89,0.57,0.53,0.67,1.93,0.79,1.02,0.42,1.29,0.53
Sys_VAR_ref_500_2,981,0.73,0.32,0.23,0.44,0.53,0.79,0.12,0.18,0.24,0.35
Sys_VAR_ref_500_2,982,0.46,0.3,0.14,0.34,0.93,0.72,0.13,0.1,0.31,0.24
Sys_VAR_ref_500_2,983,0.82,0.53,0.45,0.64,0.32,0.61,0.14,0.27,0.21,0.39
Sys_VAR_ref_500_2,985,0.7,0.83,0.6,0.69,1.92,0.83,1.15,0.5,1.33,0.57
Sys_VAR_ref_500_2,991,0.95,0.86,0.82,0.9,0.43,0.68,0.35,0.55,0.39,0.61
Sys_VAR_ref_500_2,999,0.76,0.67,0.58,0.67,1.29,1.0,0.76,0.59,0.87,0.68
Sys_VAR_ref_500_3,4,0.94,0.76,0.72,0.83,1.15,1.02,0.82,0.73,0.96,0.85
Sys_VAR_ref_500_3,7,0.82,0.53,0.44,0.63,0.59,0.86,0.26,0.38,0.37,0.54
Sys_VAR_ref_500_3,10,0.83,0.58,0.52,0.66,0.89,0.96,0.46,0.5,0.58,0.63
Sys_VAR_ref_500_3,25,0.88,0.68,0.61,0.74,1.25,0.94,0.76,0.57,0.92,0.69
Sys_VAR_ref_500_3,35,0.7,0.67,0.49,0.67,0.96,0.79,0.46,0.39,0.64,0.53
Sys_VAR_ref_500_3,39,0.93,0.86,0.81,0.89,0.74,0.86,0.6,0.7,0.65,0.76
Sys_VAR_ref_500_3,49,0.68,0.71,0.49,0.69,0.98,0.97,0.48,0.48,0.67,0.67
Sys_VAR_ref_500_3,51,0.93,0.84,0.79,0.88,0.73,0.79,0.58,0.63,0.64,0.7
Sys_VAR_ref_500_3,52,0.89,0.87,0.79,0.88,2.17,0.92,1.71,0.72,1.9,0.8
Sys_VAR_ref_500_3,64,0.63,0.64,0.44,0.63,1.2,0.96,0.53,0.42,0.75,0.6
