img_id,all_correct_1,n_correct_1,n_atoms_1,ge2_gm,ge2_am,all_correct_2,n_correct_2,n_atoms_2,all_correct_3,n_correct_3,n_atoms_3
188,0,4,6,0.023839196739993653,0.5534581558128631,0,4,6,0,4,6
189,0,4,5,0.003932128192010459,0.7880037562006464,0,4,5,0,4,5
190,1,5,5,0.9962685145006946,0.9962876198635406,1,5,5,1,5,5
191,1,5,5,0.9769741614112469,0.977790401633554,1,5,5,1,5,5
192,0,2,5,2.962530059365048e-05,0.3993853672856461,0,2,5,0,2,5
193,1,5,5,0.9997415772754835,0.9997416415997675,1,5,5,1,5,5
194,0,3,5,0.08603835989108848,0.7051581576149756,0,3,5,0,3,5
195,1,6,6,0.9827753033565073,0.983477999419077,1,6,6,1,6,6
196,0,1,6,9.50304227686295e-06,0.16693271732937554,0,1,6,0,1,6
197,1,7,7,0.9989347618500406,0.9989364370949946,1,7,7,1,7,7
198,0,4,5,0.000291456746062493,0.20146540878771227,0,4,5,1,5,5
199,0,4,5,0.05598511428020057,0.7924744142299118,0,4,5,0,4,5
200,0,3,5,3.0438481355928204e-06,0.39998126581799787,0,3,5,0,3,5
201,0,5,6,0.00983025522332925,0.816563647208511,0,5,6,0,5,6
202,0,1,6,1.2132720295006991e-05,0.19134904404524536,0,1,6,0,1,6
203,1,7,7,0.22140778966261615,0.7921713071121496,1,7,7,1,7,7
204,1,5,5,0.09036018896116622,0.600984433520013,1,5,5,1,5,5
205,0,5,6,0.009999880492051996,0.8333213826067092,0,5,6,0,5,6
206,0,3,5,0.00031863752106369196,0.5997503362773877,0,3,5,0,3,5
207,0,6,7,0.15184661951810735,0.7519612849239102,0,6,7,0,6,7
208,0,5,6,0.10476373325844826,0.8273582635528064,0,5,6,0,5,6
209,1,7,7,0.9999586575037868,0.9999586583521928,1,7,7,1,7,7
210,0,5,6,0.8713724867069004,0.9062761516772818,0,5,6,0,5,6
211,0,5,6,0.007012331750754269,0.6860196347075505,0,5,6,0,5,6
212,0,5,8,0.00023063776880826914,0.5987992321464621,0,5,8,0,5,8
