source,class_id,alignment_norm,artifact_norm,composite_product_classmean,composite_harmonic_classmean,vendi_ratio,vendi_ratio_train,composite_product_classmean_x_vendi_ratio,composite_product_classmean_x_vendi_ratio_train,composite_harmonic_classmean_x_vendi_ratio,composite_harmonic_classmean_x_vendi_ratio_train
Sys_RAEv2_ref,333,0.79,0.58,0.47,0.65,1.14,1.04,0.54,0.49,0.74,0.67
Sys_RAEv2_ref,339,0.8,0.65,0.53,0.7,1.73,1.01,0.92,0.54,1.22,0.71
Sys_RAEv2_ref,347,0.95,0.57,0.54,0.68,0.64,1.03,0.35,0.56,0.43,0.7
Sys_RAEv2_ref,356,0.75,0.5,0.4,0.58,1.8,1.17,0.73,0.48,1.04,0.68
Sys_RAEv2_ref,365,0.93,0.38,0.35,0.53,1.21,1.15,0.43,0.4,0.64,0.6
Sys_RAEv2_ref,370,0.92,0.57,0.54,0.66,0.77,0.85,0.41,0.46,0.5,0.56
Sys_RAEv2_ref,389,0.44,0.52,0.24,0.46,2.06,0.83,0.5,0.2,0.95,0.38
Sys_RAEv2_ref,392,0.81,0.67,0.57,0.73,0.39,0.96,0.22,0.55,0.28,0.71
Sys_RAEv2_ref,394,0.82,0.71,0.63,0.76,2.35,1.1,1.48,0.7,1.79,0.84
Sys_RAEv2_ref,396,0.98,0.93,0.91,0.95,0.19,0.81,0.18,0.74,0.18,0.77
Sys_RAEv2_ref,400,0.7,0.35,0.26,0.46,0.37,1.16,0.1,0.3,0.17,0.54
Sys_RAEv2_ref,405,0.58,0.68,0.39,0.53,0.59,1.07,0.23,0.42,0.32,0.57
Sys_RAEv2_ref,406,0.87,0.86,0.74,0.84,1.37,0.82,1.02,0.61,1.15,0.69
Sys_RAEv2_ref,413,0.75,0.68,0.57,0.68,0.46,1.05,0.26,0.6,0.31,0.71
Sys_RAEv2_ref,415,0.68,0.38,0.27,0.47,0.9,0.81,0.25,0.22,0.42,0.38
Sys_RAEv2_ref,419,0.65,0.36,0.26,0.42,0.92,0.66,0.24,0.17,0.38,0.28
Sys_RAEv2_ref,421,0.82,0.72,0.6,0.76,2.04,0.88,1.23,0.53,1.56,0.67
Sys_RAEv2_ref,426,0.47,0.41,0.18,0.37,1.2,0.83,0.22,0.15,0.44,0.31
Sys_RAEv2_ref,429,0.78,0.6,0.52,0.65,0.49,1.04,0.25,0.54,0.32,0.68
Sys_RAEv2_ref,432,0.76,0.54,0.44,0.62,1.24,1.06,0.54,0.46,0.77,0.66
