group,alignment_threshold,artifact_threshold,probability
Sys_IMF_ref_500,0.0,0.88,0.044000000000000004
Sys_IMF_ref_500,0.0,0.9,0.044000000000000004
Sys_IMF_ref_500,0.0,0.92,0.032
Sys_IMF_ref_500,0.0,0.94,0.019999999999999997
Sys_IMF_ref_500,0.0,0.96,0.018
Sys_IMF_ref_500,0.0,0.98,0.012
Sys_IMF_ref_500,0.0,1.0,0.0
Sys_IMF_ref_500,0.02,0.0,0.9819999999999999
Sys_IMF_ref_500,0.02,0.02,0.9819999999999999
Sys_IMF_ref_500,0.02,0.04,0.9819999999999999
Sys_IMF_ref_500,0.02,0.06,0.9819999999999999
Sys_IMF_ref_500,0.02,0.08,0.9799999999999999
Sys_IMF_ref_500,0.02,0.1,0.9799999999999999
Sys_IMF_ref_500,0.02,0.12,0.9779999999999999
Sys_IMF_ref_500,0.02,0.14,0.9779999999999999
Sys_IMF_ref_500,0.02,0.16,0.9779999999999999
Sys_IMF_ref_500,0.02,0.18,0.9779999999999999
Sys_IMF_ref_500,0.02,0.2,0.9634999999999997
Sys_IMF_ref_500,0.02,0.22,0.9594999999999998
Sys_IMF_ref_500,0.02,0.24,0.9509999999999998
Sys_IMF_ref_500,0.02,0.26,0.939
Sys_IMF_ref_500,0.02,0.28,0.9169999999999999
Sys_IMF_ref_500,0.02,0.3,0.8969999999999998
Sys_IMF_ref_500,0.02,0.32,0.7709999999999998
Sys_IMF_ref_500,0.02,0.34,0.7489999999999998
Sys_IMF_ref_500,0.02,0.36,0.731
Sys_IMF_ref_500,0.02,0.38,0.7124999999999999
Sys_IMF_ref_500,0.02,0.4,0.6704999999999999
Sys_IMF_ref_500,0.02,0.42,0.6504999999999999
Sys_IMF_ref_500,0.02,0.44,0.6305
Sys_IMF_ref_500,0.02,0.46,0.5924999999999998
Sys_IMF_ref_500,0.02,0.48,0.5679999999999998
Sys_IMF_ref_500,0.02,0.5,0.5559999999999998
Sys_IMF_ref_500,0.02,0.52,0.5419999999999999
Sys_IMF_ref_500,0.02,0.54,0.5099999999999998
Sys_IMF_ref_500,0.02,0.56,0.47799999999999976
Sys_IMF_ref_500,0.02,0.58,0.44199999999999984
Sys_IMF_ref_500,0.02,0.6,0.39999999999999986
Sys_IMF_ref_500,0.02,0.62,0.36999999999999994
Sys_IMF_ref_500,0.02,0.64,0.3439999999999999
Sys_IMF_ref_500,0.02,0.66,0.31999999999999995
Sys_IMF_ref_500,0.02,0.68,0.2879999999999999
Sys_IMF_ref_500,0.02,0.7,0.24599999999999989
Sys_IMF_ref_500,0.02,0.72,0.21799999999999986
Sys_IMF_ref_500,0.02,0.74,0.16999999999999996
Sys_IMF_ref_500,0.02,0.76,0.12000000000000004
Sys_IMF_ref_500,0.02,0.78,0.094
Sys_IMF_ref_500,0.02,0.8,0.084
Sys_IMF_ref_500,0.02,0.82,0.06600000000000002
Sys_IMF_ref_500,0.02,0.84,0.05000000000000002
Sys_IMF_ref_500,0.02,0.86,0.04600000000000001
Sys_IMF_ref_500,0.02,0.88,0.042
Sys_IMF_ref_500,0.02,0.9,0.042
Sys_IMF_ref_500,0.02,0.92,0.03
Sys_IMF_ref_500,0.02,0.94,0.019999999999999997
Sys_IMF_ref_500,0.02,0.96,0.018
Sys_IMF_ref_500,0.02,0.98,0.012
Sys_IMF_ref_500,0.02,1.0,0.0
Sys_IMF_ref_500,0.04,0.0,0.9779999999999999
Sys_IMF_ref_500,0.04,0.02,0.9779999999999999
Sys_IMF_ref_500,0.04,0.04,0.9779999999999999
Sys_IMF_ref_500,0.04,0.06,0.9779999999999999
Sys_IMF_ref_500,0.04,0.08,0.9759999999999998
Sys_IMF_ref_500,0.04,0.1,0.9759999999999998
