source,class_id,alignment_norm,authenticity_norm,composite_product_classmean,composite_harmonic_classmean
User_VAR_400_1,156,1.0,0.55,0.55,0.7
User_VAR_400_1,159,0.83,0.45,0.39,0.56
User_VAR_400_1,281,1.0,0.45,0.45,0.62
User_VAR_400_1,300,0.72,0.75,0.68,0.71
User_VAR_400_1,322,0.79,0.85,0.67,0.77
User_VAR_400_1,330,0.88,0.75,0.66,0.81
User_VAR_400_1,333,0.81,0.55,0.47,0.64
User_VAR_400_1,339,0.65,0.5,0.39,0.55
User_VAR_400_1,347,1.0,0.8,0.8,0.88
User_VAR_400_1,356,0.96,0.6,0.59,0.73
User_VAR_400_1,365,0.76,0.55,0.44,0.62
User_VAR_400_1,370,1.0,0.6,0.6,0.74
User_VAR_400_1,389,0.41,0.55,0.22,0.46
User_VAR_400_1,392,0.82,0.6,0.55,0.69
User_VAR_400_1,394,0.83,0.6,0.53,0.68
User_VAR_400_1,396,0.89,0.55,0.49,0.67
User_VAR_400_1,400,1.0,0.75,0.75,0.85
User_VAR_400_1,405,0.57,0.55,0.35,0.54
User_VAR_400_1,406,0.89,0.7,0.65,0.78
User_VAR_400_1,413,0.82,0.55,0.48,0.66
User_VAR_400_1,415,0.63,0.45,0.21,0.35
User_VAR_400_1,419,0.9,0.55,0.5,0.64
User_VAR_400_1,421,0.71,0.55,0.4,0.59
User_VAR_400_1,426,0.59,0.35,0.2,0.42
User_VAR_400_1,429,0.69,0.65,0.48,0.64
User_VAR_400_1,432,0.91,0.6,0.56,0.71
User_VAR_400_1,443,0.8,0.65,0.53,0.69
User_VAR_400_1,446,0.69,0.5,0.32,0.5
User_VAR_400_1,453,0.86,0.55,0.47,0.66
User_VAR_400_1,461,0.56,0.75,0.47,0.63
User_VAR_400_1,477,0.61,0.45,0.28,0.52
User_VAR_400_1,479,0.86,0.85,0.74,0.85
User_VAR_400_1,481,0.57,0.35,0.24,0.43
User_VAR_400_1,488,0.94,0.75,0.71,0.83
User_VAR_400_1,499,0.58,0.5,0.37,0.47
User_VAR_400_1,529,0.85,0.65,0.55,0.72
User_VAR_400_1,535,0.8,0.8,0.64,0.79
User_VAR_400_1,554,0.0,0.4,0.0,0.0
User_VAR_400_1,567,0.93,0.65,0.61,0.76
User_VAR_400_1,575,0.65,0.5,0.3,0.43
User_VAR_400_1,585,0.37,0.35,0.15,0.25
User_VAR_400_1,590,0.71,0.5,0.41,0.59
User_VAR_400_1,605,0.86,0.5,0.45,0.61
User_VAR_400_1,606,0.68,0.6,0.49,0.6
User_VAR_400_1,626,0.69,0.65,0.5,0.6
User_VAR_400_1,632,0.72,0.45,0.39,0.5
User_VAR_400_1,633,0.59,0.5,0.3,0.48
User_VAR_400_1,634,0.22,0.35,0.07,0.21
User_VAR_400_1,645,0.94,0.45,0.42,0.6
User_VAR_400_1,654,0.97,0.7,0.68,0.79
User_VAR_400_1,679,0.59,0.6,0.35,0.57
User_VAR_400_1,687,1.0,0.85,0.85,0.91
User_VAR_400_1,730,0.54,0.5,0.34,0.48
User_VAR_400_1,743,0.65,0.6,0.44,0.56
User_VAR_400_1,746,0.7,0.35,0.27,0.45
User_VAR_400_1,755,0.94,0.7,0.66,0.8
User_VAR_400_1,756,0.9,0.75,0.67,0.81
User_VAR_400_1,806,0.91,0.9,0.82,0.9
User_VAR_400_1,810,0.78,0.55,0.44,0.62
User_VAR_400_1,819,0.51,0.5,0.26,0.4
User_VAR_400_1,836,0.07,0.4,0.03,0.08
User_VAR_400_1,903,0.57,0.45,0.29,0.44
User_VAR_400_1,917,0.86,0.45,0.39,0.59
User_VAR_400_1,919,0.53,0.2,0.11,0.29
User_VAR_400_1,920,0.92,0.7,0.65,0.79
User_VAR_400_1,922,0.31,0.25,0.1,0.23
User_VAR_400_1,928,1.0,0.7,0.7,0.82
User_VAR_400_1,931,0.97,0.85,0.83,0.9
User_VAR_400_1,943,0.82,0.75,0.62,0.78
User_VAR_400_1,952,1.0,0.8,0.8,0.88
User_VAR_400_1,960,0.84,0.6,0.54,0.69
User_VAR_400_1,962,0.92,0.8,0.73,0.85
User_VAR_400_1,968,0.96,0.75,0.72,0.84
User_VAR_400_1,971,0.78,0.45,0.36,0.56
User_VAR_400_1,972,0.83,0.55,0.46,0.62
User_VAR_400_1,981,0.77,0.45,0.36,0.54
User_VAR_400_1,982,0.59,0.4,0.25,0.46
User_VAR_400_1,983,0.97,0.5,0.48,0.64
User_VAR_400_1,985,0.83,0.9,0.76,0.85
User_VAR_400_1,991,0.92,0.9,0.83,0.91
User_VAR_400_1,999,0.82,0.5,0.45,0.61
User_VAR_400_2,4,0.94,0.55,0.52,0.69
User_VAR_400_2,7,0.87,0.7,0.61,0.77
User_VAR_400_2,10,0.81,0.8,0.66,0.79
User_VAR_400_2,25,0.91,0.75,0.68,0.82
User_VAR_400_2,35,0.6,0.7,0.44,0.57
User_VAR_400_2,39,0.96,0.65,0.61,0.74
User_VAR_400_2,49,0.93,0.75,0.7,0.83
User_VAR_400_2,51,0.94,0.8,0.78,0.85
User_VAR_400_2,52,0.93,0.8,0.75,0.85
User_VAR_400_2,64,0.64,0.85,0.54,0.72
User_VAR_400_2,80,0.96,0.55,0.53,0.67
User_VAR_400_2,97,0.88,0.85,0.75,0.85
User_VAR_400_2,106,1.0,0.8,0.8,0.88
User_VAR_400_2,116,1.0,0.85,0.85,0.92
User_VAR_400_2,118,0.85,0.45,0.39,0.59
User_VAR_400_2,129,0.75,0.55,0.41,0.62
User_VAR_400_2,144,0.88,0.75,0.65,0.8
User_VAR_400_2,147,0.88,0.7,0.65,0.78
User_VAR_400_2,150,0.85,0.6,0.51,0.7
