source,class_id,alignment_norm,artifact_norm,composite_product,composite_harmonic
User_JiTfdloss_1,426,0.6,0.48,0.29,0.52
User_JiTfdloss_1,429,0.93,0.76,0.7,0.82
User_JiTfdloss_1,432,1.0,0.56,0.56,0.71
User_JiTfdloss_1,443,0.95,0.72,0.69,0.81
User_JiTfdloss_1,446,0.9,0.6,0.55,0.72
User_JiTfdloss_1,453,0.75,0.56,0.42,0.62
User_JiTfdloss_1,461,0.93,0.76,0.71,0.81
User_JiTfdloss_1,477,0.58,0.64,0.35,0.5
User_JiTfdloss_1,479,0.79,0.64,0.51,0.7
User_JiTfdloss_1,481,0.68,0.6,0.41,0.6
User_JiTfdloss_1,488,1.0,0.84,0.84,0.91
User_JiTfdloss_1,499,0.52,0.56,0.34,0.49
User_JiTfdloss_1,529,0.77,0.48,0.37,0.57
User_JiTfdloss_1,535,0.76,0.64,0.48,0.67
User_JiTfdloss_1,554,0.0,0.4,0.0,0.0
User_JiTfdloss_1,567,0.98,0.72,0.71,0.83
User_JiTfdloss_1,575,0.98,0.64,0.62,0.75
User_JiTfdloss_1,585,0.25,0.4,0.18,0.26
User_JiTfdloss_1,590,0.74,0.4,0.32,0.52
User_JiTfdloss_1,605,0.81,0.48,0.4,0.59
User_JiTfdloss_1,606,0.67,0.6,0.43,0.61
User_JiTfdloss_1,626,0.72,0.48,0.39,0.57
User_JiTfdloss_1,632,0.87,0.6,0.53,0.7
User_JiTfdloss_1,633,0.71,0.64,0.49,0.66
User_JiTfdloss_1,634,0.51,0.56,0.26,0.45
User_JiTfdloss_1,645,0.81,0.6,0.5,0.68
User_JiTfdloss_1,654,1.0,0.52,0.52,0.67
User_JiTfdloss_1,679,0.61,0.56,0.35,0.58
User_JiTfdloss_1,687,1.0,0.84,0.84,0.91
User_JiTfdloss_1,730,0.72,0.52,0.41,0.58
User_JiTfdloss_1,743,0.88,0.8,0.71,0.83
User_JiTfdloss_1,746,0.61,0.56,0.37,0.56
User_JiTfdloss_1,755,1.0,0.76,0.76,0.86
User_JiTfdloss_1,756,0.59,0.6,0.37,0.57
User_JiTfdloss_1,806,0.87,0.76,0.66,0.81
User_JiTfdloss_1,810,0.65,0.48,0.33,0.52
User_JiTfdloss_1,819,0.6,0.44,0.28,0.44
User_JiTfdloss_1,836,0.06,0.64,0.05,0.1
User_JiTfdloss_1,903,0.86,0.4,0.36,0.52
User_JiTfdloss_1,917,0.72,0.44,0.32,0.54
User_JiTfdloss_1,919,0.52,0.28,0.14,0.35
User_JiTfdloss_1,920,0.65,0.64,0.48,0.62
