class_id,batch_idx,num_images,vendi_score
147,14,50,10.502030372619629
147,15,50,10.159003257751465
147,16,50,9.764790534973145
147,17,50,12.064336776733398
147,18,50,11.102221488952637
147,19,50,10.68429183959961
147,20,50,11.236614227294922
147,21,50,10.693098068237305
147,22,50,10.875439643859863
150,0,50,8.997424125671387
150,1,50,9.93648624420166
150,2,50,9.664916038513184
150,3,50,10.497625350952148
150,4,50,11.08023738861084
150,5,50,8.49956226348877
150,6,50,11.142680168151855
150,7,50,11.735644340515137
150,8,50,12.498933792114258
150,9,50,10.870946884155273
150,10,50,10.352350234985352
150,11,50,8.960497856140137
150,12,50,9.325119972229004
150,13,50,11.060111045837402
150,14,50,13.523704528808594
150,15,50,11.932692527770996
150,16,50,10.975935935974121
150,17,50,10.098413467407227
150,18,50,10.20564079284668
150,19,50,12.398824691772461
150,20,50,10.56464958190918
150,21,50,10.48755168914795
150,22,50,10.654359817504883
150,23,50,10.605241775512695
150,24,50,12.21280288696289
150,25,50,11.389626502990723
156,0,50,7.73266077041626
156,1,50,8.20240592956543
156,2,50,7.939640045166016
156,3,50,7.413321018218994
156,4,50,7.3999481201171875
156,5,50,8.646444320678711
156,6,50,7.900096893310547
156,7,50,6.893304824829102
156,8,50,7.416133403778076
156,9,50,8.389256477355957
156,10,50,7.791499137878418
156,11,50,7.485507488250732
156,12,50,8.036145210266113
156,13,50,8.809678077697754
156,14,50,8.23134708404541
156,15,50,8.906876564025879
156,16,50,7.001924991607666
156,17,50,7.014371395111084
156,18,50,7.642428874969482
156,19,50,7.517481803894043
156,20,50,8.775439262390137
156,21,50,7.795650959014893
156,22,50,7.5670671463012695
156,23,50,7.876725673675537
156,24,50,7.093096733093262
156,25,50,7.978477954864502
159,0,50,15.914057731628418
159,1,50,14.882471084594727
159,2,50,15.458358764648438
159,3,50,14.569496154785156
159,4,50,16.57325553894043
159,5,50,16.6137752532959
159,6,50,14.778816223144531
159,7,50,14.242414474487305
159,8,50,14.927033424377441
159,9,50,15.61683464050293
159,10,50,13.768798828125
159,11,50,15.58990478515625
159,12,50,14.46856689453125
159,13,50,14.876114845275879
159,14,50,15.380513191223145
159,15,50,14.01683521270752
159,16,50,17.01114845275879
159,17,50,15.997962951660156
159,18,50,14.484868049621582
159,19,50,15.930380821228027
159,20,50,15.360453605651855
159,21,50,16.46895408630371
159,22,50,13.980630874633789
159,23,50,15.109515190124512
159,24,50,16.584291458129883
159,25,50,17.16179847717285
281,0,50,16.418962478637695
281,1,50,15.01341438293457
281,2,50,16.14612579345703
281,3,50,14.006032943725586
281,4,50,13.80014419555664
281,5,50,13.848705291748047
281,6,50,15.32186508178711
281,7,50,15.607122421264648
281,8,50,15.039793014526367
281,9,50,13.185497283935547
281,10,50,16.454862594604492
281,11,50,15.050273895263672
281,12,50,16.188138961791992
281,13,50,15.633184432983398
281,14,50,14.819683074951172
281,15,50,17.745670318603516
281,16,50,16.931798934936523
281,17,50,15.004765510559082
281,18,50,15.536693572998047
281,19,50,14.928609848022461
281,20,50,14.167535781860352
281,21,50,13.991508483886719
281,22,50,16.233776092529297
281,23,50,13.944565773010254
281,24,50,14.014461517333984
281,25,50,15.401479721069336
300,0,50,4.571739196777344
300,1,50,3.4854049682617188
300,2,50,2.948303699493408
300,3,50,3.797511100769043
300,4,50,3.8011038303375244
300,5,50,4.642138481140137
300,6,50,3.442751884460449
300,7,50,3.264887809753418
300,8,50,3.3623862266540527
300,9,50,3.0608608722686768
300,10,50,4.21001672744751
